danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.3090,0.5270,0.0000,-9.7600,0.0000,0.0326,0.5170,0.9420,0.0924,0.4840,177.0650,301963.0000,0
0.7000,0.8860,11.0000,-4.9500,0.0000,0.3240,0.0084,0.0000,0.0904,0.5300,167.8630,253400.0000,0
0.6600,0.7000,9.0000,-7.8320,1.0000,0.0304,0.0612,0.0687,0.1160,0.2210,102.5140,280205.0000,0
0.6870,0.7780,1.0000,-6.6230,0.0000,0.1010,0.2090,0.0000,0.1170,0.8650,172.0470,240733.0000,0
0.7110,0.5170,11.0000,-7.6950,1.0000,0.0391,0.1540,0.0000,0.1490,0.2940,119.9450,204516.0000,0
0.8110,0.3830,1.0000,-9.6210,1.0000,0.1260,0.6030,0.0000,0.1730,0.4240,118.0270,202840.0000,0
0.7330,0.6760,3.0000,-5.2060,0.0000,0.0520,0.0141,0.4560,0.0563,0.6550,123.9690,412081.0000,0
0.7820,0.7510,11.0000,-7.8070,0.0000,0.0491,0.0791,0.0180,0.0769,0.7900,105.0400,300440.0000,0
0.6170,0.7230,7.0000,-2.3940,0.0000,0.0342,0.1490,0.0000,0.1330,0.2360,95.0000,266790.0000,0
0.4980,0.4700,0.0000,-14.0960,1.0000,0.0485,0.8770,0.8570,0.1440,0.0768,82.9770,160482.0000,0
0.6180,0.7110,1.0000,-5.0910,1.0000,0.2290,0.3460,0.0000,0.1160,0.3830,84.9840,107300.0000,0
0.7620,0.7270,11.0000,-6.3470,0.0000,0.0697,0.0221,0.0000,0.1750,0.4410,104.9990,209373.0000,0
0.6470,0.8760,8.0000,-5.0650,1.0000,0.0463,0.2830,0.0000,0.2350,0.7840,82.9870,218013.0000,0
0.5980,0.5260,10.0000,-8.6590,0.0000,0.0415,0.1290,0.0000,0.1400,0.5290,123.9350,168387.0000,0
0.7100,0.5830,1.0000,-6.9190,0.0000,0.1070,0.0286,0.0000,0.3660,0.3190,95.1090,245000.0000,0
0.7460,0.9970,2.0000,-1.6310,1.0000,0.1690,0.0006,0.1590,0.1700,0.2700,127.9910,228765.0000,0
0.6720,0.8150,1.0000,-6.4760,0.0000,0.0981,0.0025,0.0000,0.5770,0.3410,115.0330,226093.0000,0
